tank_id,image,isPrem,name,avg_earnings,profit_per_minute,avg_repair_cost,avg_profit,avg_ammo_cost,earnings_per_minute,nation,cost_per_shot,battles,tier,class,avg_consumables_cost
17937,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G101_StuG_III.png,False,StuG III B,15460,363,1193,1812,10378,3101,Germany,1007,995,4,TD,2076
3377,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch16_WZ_131.png,False,WZ-131,29811,360,5822,1764,12372,6088,China,1540,1350,7,LT,9852
4993,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S29_UDES_14_5.png,False,UDES 14 5,31229,323,11346,1728,12812,5842,Sweden,1553,23104,8,MT,5341
3089,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G12_Ltraktor.png,False,L.Tr.,13175,395,0,1703,11471,3062,Germany,126,833,1,LT,0
11777,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R80_KV1.png,False,KV-1,33816,342,3177,1688,23263,6859,USSR,1579,3725,5,HT,5687
18449,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G103_RU_251.png,False,Ru 251,35717,331,13700,1650,9140,7171,Germany,1216,3537,9,LT,11225
4657,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch21_T34.png,False,Type T-34,28612,333,2260,1582,19580,6029,China,1014,1280,5,MT,5189
20481,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R139_IS_M.png,False,IS-M,35065,318,10374,1579,17869,7068,USSR,2409,1377,8,HT,5241
8705,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R52_Object_261.png,False,Obj. 261,44454,241,16046,1569,19043,6852,USSR,1992,11842,10,SPG,7793
22785,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R170_IS_2_II.png,False,IS-2-II,34210,308,10549,1555,16287,6790,USSR,1740,2490,8,HT,5818
529,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G04_PzVI_Tiger_I.png,False,Tiger I,38287,301,9479,1547,21107,7464,Germany,2111,7052,7,HT,6151
16657,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G99_RhB_Waffentrager.png,False,Rhm.-B. WT,31887,248,7752,1502,16381,5273,Germany,2510,12435,8,TD,6251
11041,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A72_T25_2.png,False,T25/2,26950,264,5053,1500,17016,4754,USA,1746,3029,7,TD,3380
25617,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/germany-G158_VK2801_105_SPXXI.png,True,VK 28.01 105,25585,354,3667,1428,13987,6358,Germany,2145,6010,6,LT,6502
1921,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S18_EMIL_1951_E1.png,False,Emil I,36025,269,9472,1404,19852,6913,Sweden,2254,2760,8,HT,5295
10273,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A57_M8A1.png,False,M8A1,22232,249,1060,1374,17024,4043,USA,798,3796,4,TD,2772
7505,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB59_Cruiser_Mk_IV.png,False,Cruiser IV,26718,268,1633,1190,20980,6023,UK,727,1479,4,LT,2914
51841,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S15_L_60.png,True,L-60,12466,347,365,1178,9159,3678,Sweden,153,110,2,LT,1763
3121,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch09_M5.png,False,M5A1 Stuart,27979,237,1750,1143,20929,5811,China,911,1090,4,LT,4155
