damage_received,survival,damage_received_from_invisible,life_time,nation,player_winrate,winrate,image,isPrem,class,difference,tier,damage_blocked,battles,shots_fired,spots,tank_id,direct_hits,sniper_damage,spotting_assist,base_defense_points,wn8,frags,penetrations,base_capture_points,distance_traveled,hit_rate,name,tracking_assist,potential_damage_received,pen_rate,damage
687,27.25,231,291,USSR,49.8,49.88,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R32_Matilda_II_LL.png,True,MT,0.08,5,212,756,12.17,0.72,51457,7.73,84,163,0.51,1061,0.7,4.35,1.63,990,63.5,Matilda IV,27,869,56.26,452
1374,31.79,358,313,UK,54.21,56.25,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB111_Charlemagne.png,True,HT,2.04,8,802,648,8.19,1.23,52049,6.32,207,358,0.56,1949,1.07,4.63,1.11,1365,77.18,Charlemagne,59,2142,73.21,1851
750,22.33,269,265,USSR,49.48,46.86,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R140_M4_Loza.png,True,MT,-2.62,6,120,645,11.5,0.99,48129,7.11,170,219,0.54,985,0.6,4.97,1.41,1133,61.83,Loza's M4-A2,27,852,69.97,558
494,17.42,158,238,USA,48.34,45.29,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A23_M7_med.png,False,LT,-3.05,5,54,643,7.86,1.73,5409,4.71,53,258,0.24,940,0.45,3.33,1.22,1404,59.94,M7,10,520,70.59,291
2038,28.94,445,314,China,52.67,50.59,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch41_WZ_111_QL.png,True,HT,-2.08,10,1071,615,9.67,1.27,62257,7.39,308,479,0.13,1805,0.9,4.85,0.63,1432,76.48,WZ-111 QL,71,3062,65.65,2224
571,21.05,181,255,USA,52.48,50.74,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A78_M4_Improved.png,True,MT,-1.74,5,124,570,11.25,1.42,12577,6.9,99,218,0.33,1121,0.65,4.22,1.09,1295,61.33,M4 Improved,26,685,61.13,460
1145,19.33,349,257,USSR,49.16,49.95,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R133_KV_122.png,True,HT,0.79,7,181,564,5.18,0.97,49921,3.39,103,190,0.23,949,0.54,2.15,0.75,1108,65.51,KV-122,35,1330,63.51,769
534,26.25,191,266,Japan,50.29,51.01,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/japan-J12_Chi_Nu_Kai.png,True,MT,0.72,5,56,518,9.22,0.93,51553,5.63,146,170,0.56,1302,0.66,4.22,0.87,1082,61.07,Chi-Nu Kai,20,557,75.03,493
1392,31.82,443,360,China,50.79,51.55,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch40_WZ120G_FT.png,True,TD,0.76,9,241,506,7.01,0.71,63025,4.66,655,311,0.54,1613,1.01,3.45,0.83,1347,66.42,WZ-120G FT,39,1628,74.19,1706
464,25.91,139,267,USSR,56.54,54.14,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R41_T-50.png,False,LT,-2.4,5,48,494,15.21,2.53,9473,10.06,115,388,0.97,2108,0.87,7.4,0.85,1790,66.17,T-50,13,494,73.51,505
